combination_id,max_depth,eta,gamma,lambda,min_child_weight,train_auc,train_precision,train_recall,train_f1,test_auc,test_precision,test_recall,test_f1,rank_train_auc,rank_train_precision,rank_test_auc,rank_test_precision,avg_rank
135,5,0.1,0.2,1.5,10,0.854153924806729,0.798709280885065,0.735635437305406,0.765875939295712,0.726813485903183,0.637274549098196,0.757744241461477,0.692307692307692,75,66,219,137,124.25
136,3,0.03,0,2,10,0.843197613929747,0.787078051015732,0.729266911972828,0.757070447366488,0.732800731863802,0.634577603143419,0.76965845909452,0.69562096195262,191,190,66,170,154.25
137,4,0.03,0,2,10,0.838925602320149,0.784085692425402,0.725162751202944,0.753474009264025,0.730816368353588,0.643882433356118,0.748212867355044,0.692138133725202,231,225,129,52,159.25
138,5,0.03,0,2,10,0.84411293418455,0.786862655029858,0.72728559298047,0.755902037214091,0.736590645162587,0.652875175315568,0.739475774424146,0.693482309124767,177,194,6,5,95.5
139,3,0.05,0,2,10,0.842548221128235,0.787117405207857,0.731531276535522,0.758307049072104,0.730289972903359,0.633840052875083,0.761715647339158,0.691919191919192,202,189,143,176,177.5
140,4,0.05,0,2,10,0.850614195436132,0.795447601588757,0.736909142371922,0.765060240963855,0.728640466549779,0.63265306122449,0.73868149324861,0.681568340051301,118,94,194,186,148
141,5,0.05,0,2,10,0.85837344302698,0.802425544980043,0.73973959807529,0.76980854197349,0.729985922605135,0.641991924629879,0.757744241461477,0.695081967213115,38,34,154,81,76.75
142,3,0.1,0,2,10,0.841686609236867,0.786506609937699,0.732521936031701,0.758554993771525,0.729032919137354,0.635278514588859,0.760921366163622,0.692446693169498,215,199,185,161,190
143,4,0.1,0,2,10,0.854289426961377,0.796713329275715,0.741013303141806,0.767854524123772,0.723973227500613,0.632214765100671,0.748212867355044,0.685340123681339,73,85,241,188,146.75
144,5,0.1,0,2,10,0.850270726600934,0.790697674418605,0.73620152844608,0.762477097838036,0.733032453016192,0.638241172551632,0.760921366163622,0.694202898550725,121,139,58,129,111.75
145,3,0.03,0.1,2,10,0.839656203121798,0.782787509520183,0.72728559298047,0.754016579854743,0.735900169705607,0.640449438202247,0.76965845909452,0.699134199134199,227,229,11,94,140.25
146,4,0.03,0.1,2,10,0.848640643599545,0.791768292682927,0.735069346164733,0.762366064875972,0.734118394775157,0.639189189189189,0.751389992057188,0.690763052208835,131,130,31,118,102.5
147,5,0.03,0.1,2,10,0.85743060143951,0.801593381339053,0.740447212001132,0.769807989406312,0.732685541001919,0.643102264927934,0.744241461477363,0.689985272459499,45,42,72,59,54.5
148,3,0.05,0.1,2,10,0.842348368738908,0.787823439878235,0.732521936031701,0.75916691111763,0.729674505449465,0.631061598951507,0.764892772041303,0.691561938958707,206,176,165,203,187.5
149,4,0.05,0.1,2,10,0.859392730350083,0.802831912302071,0.746249646193037,0.773507407950712,0.73172249181944,0.633051398828887,0.772835583796664,0.695994277539342,32,31,97,183,85.75
150,5,0.05,0.1,2,10,0.856389976134004,0.797371638141809,0.738465893008774,0.76678912564291,0.728578852832959,0.637340496977838,0.753772835583797,0.690684133915575,56,80,196,136,117
151,3,0.1,0.1,2,10,0.851790832751484,0.79412210271171,0.741862439852816,0.767103241384357,0.728507193401439,0.63036303630363,0.758538522637014,0.688536409516943,103,108,197,212,155
152,4,0.1,0.1,2,10,0.850368108943602,0.790538484940675,0.735493914520238,0.762023460410557,0.732465874707167,0.636184210526316,0.768069896743447,0.695933789132782,120,143,79,150,123
153,5,0.1,0.1,2,10,0.856246413928046,0.80006123698714,0.739598075290122,0.768642447418738,0.733313063313452,0.65,0.753772835583797,0.698050753953659,57,53,51,11,43
154,3,0.03,0.2,2,10,0.844063695190078,0.788192331101643,0.733088027172375,0.759642176272181,0.732617899856279,0.633003300330033,0.761715647339158,0.691420331651045,178,168,74,184,151
155,4,0.03,0.2,2,10,0.852249604797134,0.794848346288676,0.738041324653269,0.765392236002055,0.733921833624213,0.641304347826087,0.749801429706116,0.691321860124497,97,102,36,86,80.25
